season,ndcg_5,top1_hit,mvp_pred_rank,real_top10,pred_top10,top_10_features
1997,0.9675656151800958,0,2,1. Karl Malone | 2. Michael Jordan | 3. Grant Hill | 4. Tim Hardaway | 5. Glen Rice | 6. Gary Payton | 7. Hakeem Olajuwon | 8. Patrick Ewing | 9. Anthony Mason | 10. Scottie Pippen,1. Michael Jordan | 2. Karl Malone | 3. Grant Hill | 4. John Stockton | 5. Tim Hardaway | 6. Scottie Pippen | 7. Gary Payton | 8. Mookie Blaylock | 9. Hakeem Olajuwon | 10. Patrick Ewing,vorp_zscore (6.62) | per_zscore (5.85) | win_shares_zscore (5.62) | bpm_zscore (4.62) | pts_per_game_zscore (2.89) | inv_conference_rank (2.58) | on_court_pm_per_100_zscore (2.55) | fgm_per_game_zscore (2.55) | wins_zscore (2.24) | usg_pct_zscore (2.23)
1998,0.7834990864948467,0,2,1. Michael Jordan | 2. Karl Malone | 3. Gary Payton | 4. Shaquille O'Neal | 5. Tim Duncan | 6. Tim Hardaway | 7. David Robinson | 8. Vin Baker | 9. Grant Hill | 10. Glen Rice,1. Karl Malone | 2. Michael Jordan | 3. David Robinson | 4. Shaquille O'Neal | 5. Tim Duncan | 6. Gary Payton | 7. Tim Hardaway | 8. Reggie Miller | 9. John Stockton | 10. Grant Hill,vorp_zscore (6.96) | win_shares_zscore (5.60) | per_zscore (5.47) | bpm_zscore (4.21) | pts_per_game_zscore (2.68) | on_court_pm_per_100_zscore (2.57) | inv_conference_rank (2.46) | pts_gen_by_ast_per_game_zscore (2.40) | wins_zscore (2.32) | fgm_per_game_zscore (2.29)
1999,0.9407966641521027,1,1,1. Karl Malone | 2. Alonzo Mourning | 3. Tim Duncan | 4. Allen Iverson | 5. Jason Kidd | 6. Shaquille O'Neal | 7. Chris Webber | 8. Grant Hill | 9. Gary Payton | 10. Kevin Garnett,1. Karl Malone | 2. Tim Duncan | 3. Shaquille O'Neal | 4. Allen Iverson | 5. Alonzo Mourning | 6. David Robinson | 7. Grant Hill | 8. Jason Kidd | 9. Darrell Armstrong | 10. Gary Payton,vorp_zscore (7.18) | per_zscore (6.20) | win_shares_zscore (5.11) | bpm_zscore (4.09) | pts_per_game_zscore (2.67) | wins_zscore (2.43) | inv_conference_rank (2.26) | fgm_per_game_zscore (2.12) | fga_per_game_zscore (2.05) | tov_per_game_zscore (2.05)
2000,0.9850613942932833,1,1,1. Shaquille O'Neal | 2. Kevin Garnett | 3. Alonzo Mourning | 4. Karl Malone | 5. Tim Duncan | 6. Allen Iverson | 7. Gary Payton | 8. Grant Hill | 9. Chris Webber | 10. Vince Carter,1. Shaquille O'Neal | 2. Karl Malone | 3. Tim Duncan | 4. Gary Payton | 5. Kevin Garnett | 6. Alonzo Mourning | 7. Chris Webber | 8. Vince Carter | 9. David Robinson | 10. Kobe Bryant,vorp_zscore (6.97) | per_zscore (6.02) | bpm_zscore (5.01) | win_shares_zscore (4.37) | fgm_per_game_zscore (2.94) | reb_per_game_zscore (2.82) | pts_per_game_zscore (2.52) | nrtg_zscore (2.50) | pts_gen_by_ast_per_game_zscore (2.40) | on_court_pm_per_100_zscore (2.38)
2001,0.9659267141965071,1,1,1. Allen Iverson | 2. Tim Duncan | 3. Shaquille O'Neal | 4. Chris Webber | 5. Kevin Garnett | 6. Tracy McGrady | 7. Karl Malone | 8. Jason Kidd | 9. Kobe Bryant | 10. Vince Carter,1. Allen Iverson | 2. Shaquille O'Neal | 3. Kobe Bryant | 4. Tim Duncan | 5. Chris Webber | 6. Vince Carter | 7. Tracy McGrady | 8. Karl Malone | 9. Ray Allen | 10. John Stockton,vorp_zscore (6.70) | per_zscore (6.16) | win_shares_zscore (4.58) | bpm_zscore (4.44) | pts_per_game_zscore (2.98) | on_court_pm_per_100_zscore (2.63) | fgm_per_game_zscore (2.63) | inv_conference_rank (2.60) | pts_gen_by_ast_per_game_zscore (2.34) | win_shares_per_48_zscore (2.30)
2002,0.6987674524988514,1,1,1. Tim Duncan | 2. Jason Kidd | 3. Shaquille O'Neal | 4. Tracy McGrady | 5. Kobe Bryant | 6. Gary Payton | 7. Dirk Nowitzki | 8. Allen Iverson | 9. Ben Wallace | 10. Paul Pierce,1. Tim Duncan | 2. Shaquille O'Neal | 3. Kevin Garnett | 4. Kobe Bryant | 5. Allen Iverson | 6. Tracy McGrady | 7. Paul Pierce | 8. Dirk Nowitzki | 9. Ben Wallace | 10. Gary Payton,vorp_zscore (7.09) | per_zscore (5.88) | win_shares_zscore (5.67) | bpm_zscore (4.85) | pts_per_game_zscore (2.77) | on_court_pm_per_100_zscore (2.73) | fgm_per_game_zscore (2.63) | win_shares_per_48_zscore (2.50) | wins_zscore (2.38) | pts_gen_by_ast_per_game_zscore (2.33)
2003,0.9151448686650385,1,1,1. Tim Duncan | 2. Kevin Garnett | 3. Kobe Bryant | 4. Tracy McGrady | 5. Shaquille O'Neal | 6. Ben Wallace | 7. Allen Iverson | 8. Dirk Nowitzki | 9. Jason Kidd | 10. Chris Webber,1. Tim Duncan | 2. Kobe Bryant | 3. Kevin Garnett | 4. Dirk Nowitzki | 5. Jason Kidd | 6. Shaquille O'Neal | 7. Tracy McGrady | 8. Steve Nash | 9. Allen Iverson | 10. Chris Webber,vorp_zscore (7.21) | per_zscore (5.84) | bpm_zscore (5.09) | win_shares_zscore (4.99) | pts_per_game_zscore (2.82) | wins_zscore (2.40) | on_court_pm_per_100_zscore (2.39) | fgm_per_game_zscore (2.34) | margin_of_victory_zscore (2.34) | obpm_zscore (2.33)
2004,0.9626990839632302,1,1,1. Kevin Garnett | 2. Tim Duncan | 3. Jermaine O'Neal | 4. Peja Stojaković | 5. Kobe Bryant | 6. Shaquille O'Neal | 7. Ben Wallace | 8. Jason Kidd | 9. LeBron James | 10. Sam Cassell,1. Kevin Garnett | 2. Tim Duncan | 3. Sam Cassell | 4. Shaquille O'Neal | 5. Kobe Bryant | 6. Tracy McGrady | 7. Peja Stojaković | 8. Jason Kidd | 9. Ben Wallace | 10. Andrei Kirilenko,vorp_zscore (6.94) | win_shares_zscore (5.31) | bpm_zscore (5.23) | per_zscore (4.77) | pts_per_game_zscore (2.76) | fgm_per_game_zscore (2.57) | inv_conference_rank (2.49) | on_court_pm_per_100_zscore (2.26) | blk_per_game_zscore (2.19) | fga_per_game_zscore (2.19)
2005,0.27715159789606636,0,8,1. Steve Nash | 2. Shaquille O'Neal | 3. Tim Duncan | 4. Dirk Nowitzki | 5. Allen Iverson | 6. Amar'e Stoudemire | 7. LeBron James | 8. Tracy McGrady | 9. Dwyane Wade | 10. Ray Allen,1. Dirk Nowitzki | 2. Kevin Garnett | 3. Tracy McGrady | 4. Shaquille O'Neal | 5. Tim Duncan | 6. Amar'e Stoudemire | 7. LeBron James | 8. Steve Nash | 9. Dwyane Wade | 10. Shawn Marion,vorp_zscore (7.42) | per_zscore (5.50) | win_shares_zscore (4.79) | bpm_zscore (4.37) | pts_per_game_zscore (3.06) | fgm_per_game_zscore (2.30) | wins_zscore (2.26) | on_court_pm_per_100_zscore (2.24) | nrtg_zscore (2.14) | obpm_zscore (2.06)
2006,0.6865733501523901,0,5,1. Steve Nash | 2. LeBron James | 3. Kobe Bryant | 4. Dirk Nowitzki | 5. Chauncey Billups | 6. Elton Brand | 7. Dwyane Wade | 8. Tim Duncan | 9. Tony Parker | 10. Shawn Marion,1. LeBron James | 2. Dirk Nowitzki | 3. Kobe Bryant | 4. Dwyane Wade | 5. Steve Nash | 6. Chauncey Billups | 7. Tim Duncan | 8. Elton Brand | 9. Allen Iverson | 10. Gilbert Arenas,vorp_zscore (7.89) | per_zscore (4.98) | win_shares_zscore (4.57) | bpm_zscore (3.36) | pts_per_game_zscore (3.01) | on_court_pm_per_100_zscore (2.66) | fgm_per_game_zscore (2.45) | nrtg_zscore (2.31) | wins_zscore (2.26) | pts_gen_by_ast_per_game_zscore (2.25)
